pair_key,mono_config_id,edof_config_id,base_id,cornea_id,platform_id,platform_label,pupil_mm,pupil_label,delta_dof50_width_d,delta_distance_peak_mtfa,delta_mtfa_at_zero_d,delta_tf_mtfa_mean,delta_c40_um,delta_c60_um,delta_hoa_rms_um,delta_f_residual_d,dof50_effect_status,pair_dof50_censored,mono_dof50_censored,edof_dof50_censored,pair_peak_censored,mono_peak_censored,edof_peak_censored
CAR_ATC_M3_AL24477_N0_WFS_EPD5,CFG_ATC_M3_AL24477_N0_WFS_MONO_EPD5,CFG_ATC_M3_AL24477_N0_WFS_EDOF_EPD5,ATC_M3_AL24477,N0,WFS,WFS-like,5.0,EPD5,-0.07929467125035328,0.0080405684605378,-0.07193432147319584,-0.004677680949184845,0.00244957818584593,-0.010027073811575077,0.002504018693351845,0.0,exact,False,False,False,False,False,False
CAR_LB_AL2395_A0V12_HOA_EPD3,CFG_LB_AL2395_A0V12_HOA_MONO_EPD3,CFG_LB_AL2395_A0V12_HOA_EDOF_EPD3,LB_AL2395,A0V12,HOA,HOA-like,3.0,EPD3,0.6592149240974534,-0.413389946013168,-0.4720166776076612,-0.08075936482571218,-0.06689836125465413,0.1709648622198187,0.14907675233706053,-0.25,exact,False,False,False,False,False,False
CAR_LB_AL2395_A0V12_HOA_EPD5,CFG_LB_AL2395_A0V12_HOA_MONO_EPD5,CFG_LB_AL2395_A0V12_HOA_EDOF_EPD5,LB_AL2395,A0V12,HOA,HOA-like,5.0,EPD5,-0.28287427193774395,-0.04605402211448026,-0.16455178298656692,-0.02477800026817427,-0.0023784015241368472,0.015230942373067453,-0.0016240673480465984,-0.5,exact,False,False,False,True,False,True
CAR_LB_AL2395_A0V12_RAD_EPD3,CFG_LB_AL2395_A0V12_RAD_MONO_EPD3,CFG_LB_AL2395_A0V12_RAD_EDOF_EPD3,LB_AL2395,A0V12,RAD,RAD-like,3.0,EPD3,0.1621157600160401,-0.2813470211104907,-0.2813470211104907,-0.016435041120551303,0.004852276642985688,-0.09128521097258405,0.08330533080748609,0.0,exact,False,False,False,False,False,False
CAR_LB_AL2395_A0V12_RAD_EPD5,CFG_LB_AL2395_A0V12_RAD_MONO_EPD5,CFG_LB_AL2395_A0V12_RAD_EDOF_EPD5,LB_AL2395,A0V12,RAD,RAD-like,5.0,EPD5,0.014618322293406316,-0.07009896775831481,-0.05445093201259843,-0.013757634042261713,-0.12895468919652808,0.06355945558438221,-0.012737625089324037,0.0,exact,False,False,False,False,False,False
CAR_LB_AL2395_A0V12_WFS_EPD3,CFG_LB_AL2395_A0V12_WFS_MONO_EPD3,CFG_LB_AL2395_A0V12_WFS_EDOF_EPD3,LB_AL2395,A0V12,WFS,WFS-like,3.0,EPD3,0.22414857096264462,-0.17267822051849807,-0.17267822051849807,-0.014544573578166575,0.03213209063441386,-0.017418973990225323,0.035190958502921144,0.0,exact,False,False,False,False,False,False
CAR_LB_AL2395_A0V12_WFS_EPD5,CFG_LB_AL2395_A0V12_WFS_MONO_EPD5,CFG_LB_AL2395_A0V12_WFS_EDOF_EPD5,LB_AL2395,A0V12,WFS,WFS-like,5.0,EPD5,0.11324105122189909,-0.024769069663862997,-0.06955727257214506,-0.006384143713424703,0.002056105113954071,-0.009471597249207465,0.0020813558081174133,0.0,exact,False,False,False,False,False,False
CAR_LB_AL2395_B0V12_HOA_EPD3,CFG_LB_AL2395_B0V12_HOA_MONO_EPD3,CFG_LB_AL2395_B0V12_HOA_EDOF_EPD3,LB_AL2395,B0V12,HOA,HOA-like,3.0,EPD3,0.7346619133253438,-0.37116497010186045,-0.4308597633811254,-0.07876923691063636,-0.06698715424641803,0.17133507874272372,0.13316783163153337,-0.25,exact,False,False,False,False,False,False
CAR_LB_AL2395_B0V12_HOA_EPD5,CFG_LB_AL2395_B0V12_HOA_MONO_EPD5,CFG_LB_AL2395_B0V12_HOA_EDOF_EPD5,LB_AL2395,B0V12,HOA,HOA-like,5.0,EPD5,-0.22928724260127353,-0.061589834549492725,-0.1394594587131937,-0.022021497843257104,-0.002327290040708474,0.015281970380505118,-0.0018689374929447,-0.5,exact,False,False,False,True,False,True
CAR_LB_AL2395_B0V12_RAD_EPD3,CFG_LB_AL2395_B0V12_RAD_MONO_EPD3,CFG_LB_AL2395_B0V12_RAD_EDOF_EPD3,LB_AL2395,B0V12,RAD,RAD-like,3.0,EPD3,0.24561278602578462,-0.2664983198140893,-0.2664983198140893,-0.01942221044911946,0.005481388090990292,-0.09112579245696083,0.0723028908850761,0.0,exact,False,False,False,False,False,False
