基础模型眼,角膜光学表型,人工晶状体延焦机制,瞳孔,DOF50改变量_D,DOF50状态,0D处MTFa改变量,全贯焦平均MTFa改变量,距离峰值MTFa改变量,C4⁰改变量_μm,C6⁰改变量_μm,高阶像差RMS改变量_μm,距离峰值搜索窗状态,内部base_id,内部cornea_id,内部platform_id,内部pair_key
Atchison −3 D 近视模型眼（眼轴 24.48 mm）,未治疗参照角膜,径向屈光力调制型延焦,5 mm 瞳孔,-0.1827789456917866,精确值,0.0184347749092324,-0.0073100197635555,0.0184347749092324,-0.1295472429740359,0.0612356671084269,0.056908131028922,未删失,ATC_M3_AL24477,N0,RAD,CAR_ATC_M3_AL24477_N0_RAD_EPD5
Atchison −3 D 近视模型眼（眼轴 24.48 mm）,未治疗参照角膜,高阶像差调制型延焦,3 mm 瞳孔,0.7163154515746109,精确值,-0.4886196436643503,-0.0821326272923207,-0.4335216107751844,-0.0718596143200852,0.1787669019668771,0.1644059981070837,未删失,ATC_M3_AL24477,N0,HOA,CAR_ATC_M3_AL24477_N0_HOA_EPD3
Atchison −3 D 近视模型眼（眼轴 24.48 mm）,未治疗参照角膜,高阶像差调制型延焦,5 mm 瞳孔,-0.2785323334271037,精确值,-0.169687627507213,-0.027422248390491,-0.0401066615426435,-0.0026242815441487,0.0165908858078432,-0.0016153646790681,受搜索窗边界限制,ATC_M3_AL24477,N0,HOA,CAR_ATC_M3_AL24477_N0_HOA_EPD5
Atchison −3 D 近视模型眼（眼轴 24.48 mm）,近视术后准单焦角膜,波前塑形型延焦,3 mm 瞳孔,0.1978955276654461,精确值,-0.1666087165473641,-0.0135750807495864,-0.1666087165473641,0.0321284121242014,-0.0174295301534125,0.0353835297328545,未删失,ATC_M3_AL24477,A0V12,WFS,CAR_ATC_M3_AL24477_A0V12_WFS_EPD3
Atchison −3 D 近视模型眼（眼轴 24.48 mm）,近视术后准单焦角膜,波前塑形型延焦,5 mm 瞳孔,0.0191067889264351,精确值,-0.0714240794053628,-0.0077258578890832,-0.0094721743409372,0.0020518459138014,-0.0094682941650054,0.0020797725062243,未删失,ATC_M3_AL24477,A0V12,WFS,CAR_ATC_M3_AL24477_A0V12_WFS_EPD5
Atchison −3 D 近视模型眼（眼轴 24.48 mm）,近视术后准单焦角膜,径向屈光力调制型延焦,3 mm 瞳孔,0.1483342665795284,精确值,-0.2824486408242538,-0.0156262045688315,-0.2824486408242538,0.0044757455917068,-0.0912790806881914,0.0856725316382265,未删失,ATC_M3_AL24477,A0V12,RAD,CAR_ATC_M3_AL24477_A0V12_RAD_EPD3
Atchison −3 D 近视模型眼（眼轴 24.48 mm）,近视术后准单焦角膜,径向屈光力调制型延焦,5 mm 瞳孔,-0.0117593585974824,精确值,-0.0481639398555046,-0.0126284255682951,-0.0667935255903863,-0.1288099465299243,0.0636462697643228,0.0193205805130487,未删失,ATC_M3_AL24477,A0V12,RAD,CAR_ATC_M3_AL24477_A0V12_RAD_EPD5
Atchison −3 D 近视模型眼（眼轴 24.48 mm）,近视术后准单焦角膜,高阶像差调制型延焦,3 mm 瞳孔,0.6337709258463956,精确值,-0.4762883148904206,-0.0808177097647943,-0.4185536956946011,-0.0668769337528284,0.1709188328751271,0.1516539597004976,未删失,ATC_M3_AL24477,A0V12,HOA,CAR_ATC_M3_AL24477_A0V12_HOA_EPD3
Atchison −3 D 近视模型眼（眼轴 24.48 mm）,近视术后准单焦角膜,高阶像差调制型延焦,5 mm 瞳孔,-0.2369904170458661,精确值,-0.1698284021132415,-0.0238416413990947,-0.034302834270245,-0.0023835660320205,0.0152197881677392,-0.001596955606149,受搜索窗边界限制,ATC_M3_AL24477,A0V12,HOA,CAR_ATC_M3_AL24477_A0V12_HOA_EPD5
Atchison −3 D 近视模型眼（眼轴 24.48 mm）,连续非球面角膜延焦原型,波前塑形型延焦,3 mm 瞳孔,0.4224481624578039,下界,-0.1993066792116455,-0.016729409417242,-0.1993066792116455,0.0321894156752673,-0.0173710517428674,0.0346864958070991,未删失,ATC_M3_AL24477,B0V12,WFS,CAR_ATC_M3_AL24477_B0V12_WFS_EPD3
Atchison −3 D 近视模型眼（眼轴 24.48 mm）,连续非球面角膜延焦原型,波前塑形型延焦,5 mm 瞳孔,-0.0252413975898755,精确值,-0.0744647987172798,-0.005731542958625,-0.0078736410868472,0.0020685370353895,-0.0094993912777176,0.0021384909538174,受搜索窗边界限制,ATC_M3_AL24477,B0V12,WFS,CAR_ATC_M3_AL24477_B0V12_WFS_EPD5
Atchison −3 D 近视模型眼（眼轴 24.48 mm）,连续非球面角膜延焦原型,径向屈光力调制型延焦,3 mm 瞳孔,0.2159700953914156,精确值,-0.2700711529483505,-0.0189384553251064,-0.2700711529483505,0.0051031959866315,-0.0911218121440132,0.0741136811745979,未删失,ATC_M3_AL24477,B0V12,RAD,CAR_ATC_M3_AL24477_B0V12_RAD_EPD3
Atchison −3 D 近视模型眼（眼轴 24.48 mm）,连续非球面角膜延焦原型,径向屈光力调制型延焦,5 mm 瞳孔,0.1242593660970703,精确值,-0.0590493060722531,-0.010459288802141,-0.0453769283605111,-0.128790343409456,0.0635116526661939,-0.0931038674091536,受搜索窗边界限制,ATC_M3_AL24477,B0V12,RAD,CAR_ATC_M3_AL24477_B0V12_RAD_EPD5
Atchison −3 D 近视模型眼（眼轴 24.48 mm）,连续非球面角膜延焦原型,高阶像差调制型延焦,3 mm 瞳孔,0.7260494766816448,精确值,-0.4391146994920586,-0.0793578211830638,-0.3791148774206305,-0.0669656690482784,0.1712855913091163,0.1355298321807704,未删失,ATC_M3_AL24477,B0V12,HOA,CAR_ATC_M3_AL24477_B0V12_HOA_EPD3
Atchison −3 D 近视模型眼（眼轴 24.48 mm）,连续非球面角膜延焦原型,高阶像差调制型延焦,5 mm 瞳孔,-0.2667722046092313,精确值,-0.1416828243447923,-0.0225886178700514,-0.061589898300644,-0.0023341700374666,0.0152696886870698,-0.0018705687471101,受搜索窗边界限制,ATC_M3_AL24477,B0V12,HOA,CAR_ATC_M3_AL24477_B0V12_HOA_EPD5
Atchison −3 D 近视模型眼（眼轴 24.48 mm）,中央近用径向多焦角膜,波前塑形型延焦,3 mm 瞳孔,0.1659164689370402,精确值,-0.1584987310488212,-0.0128153263575107,-0.1584987310488212,0.0326790548057022,-0.0166870377786691,0.0358262099866339,未删失,ATC_M3_AL24477,C0V12,WFS,CAR_ATC_M3_AL24477_C0V12_WFS_EPD3
Atchison −3 D 近视模型眼（眼轴 24.48 mm）,中央近用径向多焦角膜,波前塑形型延焦,5 mm 瞳孔,0.0570149267489945,精确值,-0.0725165527899603,-0.0027892380549395,-0.0725165527899603,0.0022820753280592,-0.0097984820510229,-0.0005434738409047,未删失,ATC_M3_AL24477,C0V12,WFS,CAR_ATC_M3_AL24477_C0V12_WFS_EPD5
Atchison −3 D 近视模型眼（眼轴 24.48 mm）,中央近用径向多焦角膜,径向屈光力调制型延焦,3 mm 瞳孔,0.1796250509585629,精确值,-0.2866979990025152,-0.0143427303419798,-0.2866979990025152,0.0106038899188826,-0.0900030236035887,0.0875232782464111,未删失,ATC_M3_AL24477,C0V12,RAD,CAR_ATC_M3_AL24477_C0V12_RAD_EPD3
Atchison −3 D 近视模型眼（眼轴 24.48 mm）,中央近用径向多焦角膜,径向屈光力调制型延焦,5 mm 瞳孔,0.2882070260178327,下界,-0.1426964578623923,-0.0031792126658876,-0.1426964578623923,-0.1295117558250391,0.0623636689190239,0.1270166250902937,未删失,ATC_M3_AL24477,C0V12,RAD,CAR_ATC_M3_AL24477_C0V12_RAD_EPD5
Atchison −3 D 近视模型眼（眼轴 24.48 mm）,中央近用径向多焦角膜,高阶像差调制型延焦,3 mm 瞳孔,0.6673969355757625,精确值,-0.484098098991985,-0.0813540608172737,-0.4288354107328206,-0.0697548394362838,0.1756841323617365,0.160605428322985,未删失,ATC_M3_AL24477,C0V12,HOA,CAR_ATC_M3_AL24477_C0V12_HOA_EPD3
Atchison −3 D 近视模型眼（眼轴 24.48 mm）,中央近用径向多焦角膜,高阶像差调制型延焦,5 mm 瞳孔,0.4109375479541043,下界,-0.2139363958708224,-0.0290039857926444,-0.1622899299793065,-0.0025523951123757,0.0160773852027464,-0.0007667855205567,未删失,ATC_M3_AL24477,C0V12,HOA,CAR_ATC_M3_AL24477_C0V12_HOA_EPD5
