model_role,run_id,config_id,pair_key,carrier_id,base_id,cornea_id,platform_id,optic_state,pupil_mm,relative_path,sha256
pair_mono_reference,task014-e270a185207543149c21da83202c4b73,CFG_ATC_M3_AL24477_A0V12_RAD_MONO_EPD3,CAR_ATC_M3_AL24477_A0V12_RAD_EPD3,CAR_ATC_M3_AL24477_A0V12_RAD,ATC_M3_AL24477,A0V12,RAD,MONO,3.0,models/task014_vertex_corrected/runs/task014-e270a185207543149c21da83202c4b73/pair_references/CAR_ATC_M3_AL24477_A0V12_RAD_EPD3.zmx,a60e36016a983ae1a3ec9504d050a93ef8722b491bfcc21721341235dc060988
pair_mono_reference,task014-e270a185207543149c21da83202c4b73,CFG_ATC_M3_AL24477_A0V12_RAD_MONO_EPD5,CAR_ATC_M3_AL24477_A0V12_RAD_EPD5,CAR_ATC_M3_AL24477_A0V12_RAD,ATC_M3_AL24477,A0V12,RAD,MONO,5.0,models/task014_vertex_corrected/runs/task014-e270a185207543149c21da83202c4b73/pair_references/CAR_ATC_M3_AL24477_A0V12_RAD_EPD5.zmx,f23fab0ce18d4e92b0bfe96be6e943526c33b74b34fccb0f8c5371c191d1e3e6
pair_mono_reference,task014-e270a185207543149c21da83202c4b73,CFG_ATC_M3_AL24477_A0V12_WFS_MONO_EPD3,CAR_ATC_M3_AL24477_A0V12_WFS_EPD3,CAR_ATC_M3_AL24477_A0V12_WFS,ATC_M3_AL24477,A0V12,WFS,MONO,3.0,models/task014_vertex_corrected/runs/task014-e270a185207543149c21da83202c4b73/pair_references/CAR_ATC_M3_AL24477_A0V12_WFS_EPD3.zmx,cd62e7912ad3f5bac2bffa19eb9fce49f00fa4bf3a47d75add86ad751ffb1ed0
pair_mono_reference,task014-e270a185207543149c21da83202c4b73,CFG_ATC_M3_AL24477_A0V12_WFS_MONO_EPD5,CAR_ATC_M3_AL24477_A0V12_WFS_EPD5,CAR_ATC_M3_AL24477_A0V12_WFS,ATC_M3_AL24477,A0V12,WFS,MONO,5.0,models/task014_vertex_corrected/runs/task014-e270a185207543149c21da83202c4b73/pair_references/CAR_ATC_M3_AL24477_A0V12_WFS_EPD5.zmx,22ec95095b5e4a51cc3705b1a32b396f55892acf960a55bda7c0f9af3c4ff382
pair_mono_reference,task014-e270a185207543149c21da83202c4b73,CFG_ATC_M3_AL24477_B0V12_HOA_MONO_EPD3,CAR_ATC_M3_AL24477_B0V12_HOA_EPD3,CAR_ATC_M3_AL24477_B0V12_HOA,ATC_M3_AL24477,B0V12,HOA,MONO,3.0,models/task014_vertex_corrected/runs/task014-e270a185207543149c21da83202c4b73/pair_references/CAR_ATC_M3_AL24477_B0V12_HOA_EPD3.zmx,70c1a3479468d682c54f852207272077c44aefb585de9568159da9f401f603dd
pair_mono_reference,task014-e270a185207543149c21da83202c4b73,CFG_ATC_M3_AL24477_B0V12_HOA_MONO_EPD5,CAR_ATC_M3_AL24477_B0V12_HOA_EPD5,CAR_ATC_M3_AL24477_B0V12_HOA,ATC_M3_AL24477,B0V12,HOA,MONO,5.0,models/task014_vertex_corrected/runs/task014-e270a185207543149c21da83202c4b73/pair_references/CAR_ATC_M3_AL24477_B0V12_HOA_EPD5.zmx,0a0c6e8695ab2ae2cad004106c99d917069023e0373e8ab72533a15da492715e
pair_mono_reference,task014-e270a185207543149c21da83202c4b73,CFG_ATC_M3_AL24477_B0V12_RAD_MONO_EPD3,CAR_ATC_M3_AL24477_B0V12_RAD_EPD3,CAR_ATC_M3_AL24477_B0V12_RAD,ATC_M3_AL24477,B0V12,RAD,MONO,3.0,models/task014_vertex_corrected/runs/task014-e270a185207543149c21da83202c4b73/pair_references/CAR_ATC_M3_AL24477_B0V12_RAD_EPD3.zmx,46a8dbad493a9155d1bd836c8a0eeb74f24ac084df057956a30b6f8a5eddbb3f
pair_mono_reference,task014-e270a185207543149c21da83202c4b73,CFG_ATC_M3_AL24477_B0V12_RAD_MONO_EPD5,CAR_ATC_M3_AL24477_B0V12_RAD_EPD5,CAR_ATC_M3_AL24477_B0V12_RAD,ATC_M3_AL24477,B0V12,RAD,MONO,5.0,models/task014_vertex_corrected/runs/task014-e270a185207543149c21da83202c4b73/pair_references/CAR_ATC_M3_AL24477_B0V12_RAD_EPD5.zmx,a339825982d213f281ca6700e53602dacfbb34d11bef4efb003e4b3b90a2a785
pair_mono_reference,task014-e270a185207543149c21da83202c4b73,CFG_ATC_M3_AL24477_B0V12_WFS_MONO_EPD3,CAR_ATC_M3_AL24477_B0V12_WFS_EPD3,CAR_ATC_M3_AL24477_B0V12_WFS,ATC_M3_AL24477,B0V12,WFS,MONO,3.0,models/task014_vertex_corrected/runs/task014-e270a185207543149c21da83202c4b73/pair_references/CAR_ATC_M3_AL24477_B0V12_WFS_EPD3.zmx,b9097767de0ef6ba16d9a0a532a74c032874098a01589c1cca848478aade5f29
pair_mono_reference,task014-e270a185207543149c21da83202c4b73,CFG_ATC_M3_AL24477_B0V12_WFS_MONO_EPD5,CAR_ATC_M3_AL24477_B0V12_WFS_EPD5,CAR_ATC_M3_AL24477_B0V12_WFS,ATC_M3_AL24477,B0V12,WFS,MONO,5.0,models/task014_vertex_corrected/runs/task014-e270a185207543149c21da83202c4b73/pair_references/CAR_ATC_M3_AL24477_B0V12_WFS_EPD5.zmx,6ed0b612d3b8368bbaf1ca474e5ef392af58af9d49cbf19f555a1e2d9160edd8
pair_mono_reference,task014-e270a185207543149c21da83202c4b73,CFG_ATC_M3_AL24477_C0V12_HOA_MONO_EPD3,CAR_ATC_M3_AL24477_C0V12_HOA_EPD3,CAR_ATC_M3_AL24477_C0V12_HOA,ATC_M3_AL24477,C0V12,HOA,MONO,3.0,models/task014_vertex_corrected/runs/task014-e270a185207543149c21da83202c4b73/pair_references/CAR_ATC_M3_AL24477_C0V12_HOA_EPD3.zmx,ffd1dd9a9edf2bd567001c28dd43606234ef1e4cffb50fc179d10ac08f7a5f08
pair_mono_reference,task014-e270a185207543149c21da83202c4b73,CFG_ATC_M3_AL24477_C0V12_HOA_MONO_EPD5,CAR_ATC_M3_AL24477_C0V12_HOA_EPD5,CAR_ATC_M3_AL24477_C0V12_HOA,ATC_M3_AL24477,C0V12,HOA,MONO,5.0,models/task014_vertex_corrected/runs/task014-e270a185207543149c21da83202c4b73/pair_references/CAR_ATC_M3_AL24477_C0V12_HOA_EPD5.zmx,444fb566df84b88a745d99e14f277ff0922f8fbd340f542f0527e0184391f51e
pair_mono_reference,task014-e270a185207543149c21da83202c4b73,CFG_ATC_M3_AL24477_C0V12_RAD_MONO_EPD3,CAR_ATC_M3_AL24477_C0V12_RAD_EPD3,CAR_ATC_M3_AL24477_C0V12_RAD,ATC_M3_AL24477,C0V12,RAD,MONO,3.0,models/task014_vertex_corrected/runs/task014-e270a185207543149c21da83202c4b73/pair_references/CAR_ATC_M3_AL24477_C0V12_RAD_EPD3.zmx,af7a614707a38c228b16f8fa2c7b63c9c5ce78d50cd1a81a5f40155e9cc597dc
pair_mono_reference,task014-e270a185207543149c21da83202c4b73,CFG_ATC_M3_AL24477_C0V12_RAD_MONO_EPD5,CAR_ATC_M3_AL24477_C0V12_RAD_EPD5,CAR_ATC_M3_AL24477_C0V12_RAD,ATC_M3_AL24477,C0V12,RAD,MONO,5.0,models/task014_vertex_corrected/runs/task014-e270a185207543149c21da83202c4b73/pair_references/CAR_ATC_M3_AL24477_C0V12_RAD_EPD5.zmx,9c4673e3b624e02ab1bbac419888c4e92c4f6dcd9a212f0e64676d84d44c1d28
pair_mono_reference,task014-e270a185207543149c21da83202c4b73,CFG_ATC_M3_AL24477_C0V12_WFS_MONO_EPD3,CAR_ATC_M3_AL24477_C0V12_WFS_EPD3,CAR_ATC_M3_AL24477_C0V12_WFS,ATC_M3_AL24477,C0V12,WFS,MONO,3.0,models/task014_vertex_corrected/runs/task014-e270a185207543149c21da83202c4b73/pair_references/CAR_ATC_M3_AL24477_C0V12_WFS_EPD3.zmx,f6d6b6a5392fadfb1c9cdd24bba6cee22e5233a2e2060414629ed55efcc588c2
pair_mono_reference,task014-e270a185207543149c21da83202c4b73,CFG_ATC_M3_AL24477_C0V12_WFS_MONO_EPD5,CAR_ATC_M3_AL24477_C0V12_WFS_EPD5,CAR_ATC_M3_AL24477_C0V12_WFS,ATC_M3_AL24477,C0V12,WFS,MONO,5.0,models/task014_vertex_corrected/runs/task014-e270a185207543149c21da83202c4b73/pair_references/CAR_ATC_M3_AL24477_C0V12_WFS_EPD5.zmx,0a654b92de67e7a252a95eb7fb800700ee14a99c0f1ae28b6e757d079e520c4e
pair_mono_reference,task014-e270a185207543149c21da83202c4b73,CFG_LB_AL2395_A0V12_HOA_MONO_EPD3,CAR_LB_AL2395_A0V12_HOA_EPD3,CAR_LB_AL2395_A0V12_HOA,LB_AL2395,A0V12,HOA,MONO,3.0,models/task014_vertex_corrected/runs/task014-e270a185207543149c21da83202c4b73/pair_references/CAR_LB_AL2395_A0V12_HOA_EPD3.zmx,d312f8d7b570cd3d1acaf4e1108e71d7e9f99faf7d789e75504400419d4e798c
pair_mono_reference,task014-e270a185207543149c21da83202c4b73,CFG_LB_AL2395_A0V12_HOA_MONO_EPD5,CAR_LB_AL2395_A0V12_HOA_EPD5,CAR_LB_AL2395_A0V12_HOA,LB_AL2395,A0V12,HOA,MONO,5.0,models/task014_vertex_corrected/runs/task014-e270a185207543149c21da83202c4b73/pair_references/CAR_LB_AL2395_A0V12_HOA_EPD5.zmx,9a1370fafbd90fc7a1209abdff11c2b8df8dd3bfa3afb71395abe3e93f2f0d08
pair_mono_reference,task014-e270a185207543149c21da83202c4b73,CFG_LB_AL2395_A0V12_RAD_MONO_EPD3,CAR_LB_AL2395_A0V12_RAD_EPD3,CAR_LB_AL2395_A0V12_RAD,LB_AL2395,A0V12,RAD,MONO,3.0,models/task014_vertex_corrected/runs/task014-e270a185207543149c21da83202c4b73/pair_references/CAR_LB_AL2395_A0V12_RAD_EPD3.zmx,1024ea82e4e2f9435f5c08cbe1d4e973e05b741ac3fa647b5c93559257baff8c
pair_mono_reference,task014-e270a185207543149c21da83202c4b73,CFG_LB_AL2395_A0V12_RAD_MONO_EPD5,CAR_LB_AL2395_A0V12_RAD_EPD5,CAR_LB_AL2395_A0V12_RAD,LB_AL2395,A0V12,RAD,MONO,5.0,models/task014_vertex_corrected/runs/task014-e270a185207543149c21da83202c4b73/pair_references/CAR_LB_AL2395_A0V12_RAD_EPD5.zmx,7f8fac024daa4c4d437300180e39b1d818806b34d232cf793db79237d83cbec3
pair_mono_reference,task014-e270a185207543149c21da83202c4b73,CFG_LB_AL2395_A0V12_WFS_MONO_EPD3,CAR_LB_AL2395_A0V12_WFS_EPD3,CAR_LB_AL2395_A0V12_WFS,LB_AL2395,A0V12,WFS,MONO,3.0,models/task014_vertex_corrected/runs/task014-e270a185207543149c21da83202c4b73/pair_references/CAR_LB_AL2395_A0V12_WFS_EPD3.zmx,3ec8ebe1fb61cd170873c51bd34ca69cb1936ba7bc5a31c0ca3396fab5b78c3b
pair_mono_reference,task014-e270a185207543149c21da83202c4b73,CFG_LB_AL2395_A0V12_WFS_MONO_EPD5,CAR_LB_AL2395_A0V12_WFS_EPD5,CAR_LB_AL2395_A0V12_WFS,LB_AL2395,A0V12,WFS,MONO,5.0,models/task014_vertex_corrected/runs/task014-e270a185207543149c21da83202c4b73/pair_references/CAR_LB_AL2395_A0V12_WFS_EPD5.zmx,139850669f4715124b13b5cacc35964003371dd32cb4acca985e75c5470d8d13
pair_mono_reference,task014-e270a185207543149c21da83202c4b73,CFG_LB_AL2395_B0V12_HOA_MONO_EPD3,CAR_LB_AL2395_B0V12_HOA_EPD3,CAR_LB_AL2395_B0V12_HOA,LB_AL2395,B0V12,HOA,MONO,3.0,models/task014_vertex_corrected/runs/task014-e270a185207543149c21da83202c4b73/pair_references/CAR_LB_AL2395_B0V12_HOA_EPD3.zmx,cd92d8e0df3658b04f6cd4410fb52e4bd725de13e9f846787fe3b3b881617de2
