config_id,pair_key,base_id,cornea_id,platform_id,pupil_mm,optic_state,defocus_d,mtf30_cpd
S2_R6_LB_AL2395_C0_WFS_EDOF_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,EDOF,-0.625,0.017122531905458944
S2_R6_LB_AL2395_C0_WFS_EDOF_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,EDOF,-0.75,0.04066841484698331
S2_R6_LB_AL2395_C0_WFS_EDOF_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,EDOF,-0.875,0.04856178383109838
S2_R6_LB_AL2395_C0_WFS_EDOF_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,EDOF,-1.0,0.06578429781266437
S2_R6_LB_AL2395_C0_WFS_EDOF_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,EDOF,-1.125,0.10604511515151878
S2_R6_LB_AL2395_C0_WFS_EDOF_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,EDOF,-1.25,0.12328461829388539
S2_R6_LB_AL2395_C0_WFS_EDOF_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,EDOF,-1.375,0.10071392156979182
S2_R6_LB_AL2395_C0_WFS_EDOF_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,EDOF,-1.5,0.12086135270448098
S2_R6_LB_AL2395_C0_WFS_EDOF_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,EDOF,-1.625,0.23600317095066997
S2_R6_LB_AL2395_C0_WFS_EDOF_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,EDOF,-1.75,0.3274736025035321
S2_R6_LB_AL2395_C0_WFS_EDOF_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,EDOF,-1.875,0.24519827286045248
S2_R6_LB_AL2395_C0_WFS_EDOF_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,EDOF,-2.0,0.05207021886012469
S2_R6_LB_AL2395_C0_WFS_EDOF_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,EDOF,-2.125,0.04090721609544263
S2_R6_LB_AL2395_C0_WFS_EDOF_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,EDOF,-2.25,0.024278707047777515
S2_R6_LB_AL2395_C0_WFS_EDOF_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,EDOF,-2.375,0.09358446141342856
S2_R6_LB_AL2395_C0_WFS_EDOF_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,EDOF,-2.5,0.05975242717582822
S2_R6_LB_AL2395_C0_WFS_EDOF_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,EDOF,-2.625,0.0008298965107493379
S2_R6_LB_AL2395_C0_WFS_EDOF_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,EDOF,-2.75,0.0006645435035477151
S2_R6_LB_AL2395_C0_WFS_EDOF_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,EDOF,-2.875,0.024720515149409816
S2_R6_LB_AL2395_C0_WFS_EDOF_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,EDOF,-3.0,0.010529904143854638
S2_R6_LB_AL2395_C0_WFS_EDOF_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,EDOF,-3.125,0.011928931773311448
S2_R6_LB_AL2395_C0_WFS_EDOF_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,EDOF,-3.25,0.0007006406213051715
S2_R6_LB_AL2395_C0_WFS_EDOF_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,EDOF,-3.375,0.01976960303832235
S2_R6_LB_AL2395_C0_WFS_EDOF_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,EDOF,-3.5,0.009176896802089461
S2_R6_LB_AL2395_C0_WFS_EDOF_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,EDOF,-3.625,0.007720833223397045
S2_R6_LB_AL2395_C0_WFS_EDOF_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,EDOF,-3.75,0.002897409543007711
S2_R6_LB_AL2395_C0_WFS_EDOF_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,EDOF,-3.875,0.005011549499900322
S2_R6_LB_AL2395_C0_WFS_EDOF_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,EDOF,-4.0,0.0023139024922627493
S2_R6_LB_AL2395_C0_WFS_EDOF_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,EDOF,-4.125,0.007163884150857945
S2_R6_LB_AL2395_C0_WFS_EDOF_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,EDOF,-4.25,0.001596529164579284
S2_R6_LB_AL2395_C0_WFS_EDOF_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,EDOF,-4.375,0.0057420846350797515
S2_R6_LB_AL2395_C0_WFS_EDOF_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,EDOF,-4.5,0.0021526951038622366
S2_R6_LB_AL2395_C0_WFS_EDOF_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,EDOF,-4.625,0.004965056377002301
S2_R6_LB_AL2395_C0_WFS_EDOF_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,EDOF,-4.75,0.0017875438127566015
S2_R6_LB_AL2395_C0_WFS_EDOF_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,EDOF,-4.875,0.0032361836095210483
S2_R6_LB_AL2395_C0_WFS_EDOF_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,EDOF,-5.0,0.0019964739200215467
S2_R6_LB_AL2395_C0_WFS_MONO_EPD5,S2_R6_LB_AL2395_C0_WFS_EPD5,LB_AL2395,C0,WFS,5.0,MONO,1.0,0.015111009998825892
S2_R6_LB_AL2395_C0_WFS_MONO_EPD5,S2_R6_LB_AL2395_C0_WFS_EPD5,LB_AL2395,C0,WFS,5.0,MONO,0.875,0.03699493470035453
S2_R6_LB_AL2395_C0_WFS_MONO_EPD5,S2_R6_LB_AL2395_C0_WFS_EPD5,LB_AL2395,C0,WFS,5.0,MONO,0.75,0.041463867465035005
S2_R6_LB_AL2395_C0_WFS_MONO_EPD5,S2_R6_LB_AL2395_C0_WFS_EPD5,LB_AL2395,C0,WFS,5.0,MONO,0.625,0.025732018231040436
S2_R6_LB_AL2395_C0_WFS_MONO_EPD5,S2_R6_LB_AL2395_C0_WFS_EPD5,LB_AL2395,C0,WFS,5.0,MONO,0.5,0.00533349583220853
S2_R6_LB_AL2395_C0_WFS_MONO_EPD5,S2_R6_LB_AL2395_C0_WFS_EPD5,LB_AL2395,C0,WFS,5.0,MONO,0.375,0.0020835256394006463
S2_R6_LB_AL2395_C0_WFS_MONO_EPD5,S2_R6_LB_AL2395_C0_WFS_EPD5,LB_AL2395,C0,WFS,5.0,MONO,0.25,0.009529101097962133
S2_R6_LB_AL2395_C0_WFS_MONO_EPD5,S2_R6_LB_AL2395_C0_WFS_EPD5,LB_AL2395,C0,WFS,5.0,MONO,0.125,0.023650850298868053
S2_R6_LB_AL2395_C0_WFS_MONO_EPD5,S2_R6_LB_AL2395_C0_WFS_EPD5,LB_AL2395,C0,WFS,5.0,MONO,0.0,0.024840445356886523
S2_R6_LB_AL2395_C0_WFS_MONO_EPD5,S2_R6_LB_AL2395_C0_WFS_EPD5,LB_AL2395,C0,WFS,5.0,MONO,-0.125,0.0060307141356476576
S2_R6_LB_AL2395_C0_WFS_MONO_EPD5,S2_R6_LB_AL2395_C0_WFS_EPD5,LB_AL2395,C0,WFS,5.0,MONO,-0.25,0.009474078151580165
S2_R6_LB_AL2395_C0_WFS_MONO_EPD5,S2_R6_LB_AL2395_C0_WFS_EPD5,LB_AL2395,C0,WFS,5.0,MONO,-0.375,0.017511414788887725
S2_R6_LB_AL2395_C0_WFS_MONO_EPD5,S2_R6_LB_AL2395_C0_WFS_EPD5,LB_AL2395,C0,WFS,5.0,MONO,-0.5,0.03260885309840574
S2_R6_LB_AL2395_C0_WFS_MONO_EPD5,S2_R6_LB_AL2395_C0_WFS_EPD5,LB_AL2395,C0,WFS,5.0,MONO,-0.625,0.046522081018684235
S2_R6_LB_AL2395_C0_WFS_MONO_EPD5,S2_R6_LB_AL2395_C0_WFS_EPD5,LB_AL2395,C0,WFS,5.0,MONO,-0.75,0.16021021809631217
S2_R6_LB_AL2395_C0_WFS_MONO_EPD5,S2_R6_LB_AL2395_C0_WFS_EPD5,LB_AL2395,C0,WFS,5.0,MONO,-0.875,0.052404841678192746
