base_id,cornea_id,platform_id,pupil_mm,threshold,delta_delta_dof_d,bound_status,lower_bound,upper_bound,source_peak_censored
ATC_M3_AL24477,A0,WFS,3.0,0.3,0.06321541218267679,exact,0.06321541218267679,0.06321541218267679,False
ATC_M3_AL24477,A0,WFS,3.0,0.5,0.037447968232824425,exact,0.037447968232824425,0.037447968232824425,False
ATC_M3_AL24477,A0,WFS,3.0,0.7,0.008965690098355461,exact,0.008965690098355461,0.008965690098355461,False
ATC_M3_AL24477,B0,WFS,3.0,0.3,0.41989099844644495,lower_bound,0.41989099844644495,,False
ATC_M3_AL24477,B0,WFS,3.0,0.5,0.4997013633729556,exact,0.4997013633729556,0.4997013633729556,False
ATC_M3_AL24477,B0,WFS,3.0,0.7,0.1568663009533483,exact,0.1568663009533483,0.1568663009533483,False
ATC_M3_AL24477,C0,WFS,3.0,0.3,0.0038187533087405967,exact,0.0038187533087405967,0.0038187533087405967,False
ATC_M3_AL24477,C0,WFS,3.0,0.5,0.0025423601332394408,exact,0.0025423601332394408,0.0025423601332394408,False
ATC_M3_AL24477,C0,WFS,3.0,0.7,-2.0132321306931544e-05,exact,-2.0132321306931544e-05,-2.0132321306931544e-05,False
ATC_M3_AL24477,A0,WFS,5.0,0.3,0.12249441543596595,exact,0.12249441543596595,0.12249441543596595,False
ATC_M3_AL24477,A0,WFS,5.0,0.5,0.12566386300001986,exact,0.12566386300001986,0.12566386300001986,False
ATC_M3_AL24477,A0,WFS,5.0,0.7,0.059729916053285426,exact,0.059729916053285426,0.059729916053285426,False
ATC_M3_AL24477,B0,WFS,5.0,0.3,0.25430115888559923,exact,0.25430115888559923,0.25430115888559923,False
ATC_M3_AL24477,B0,WFS,5.0,0.5,0.2584392336359873,exact,0.2584392336359873,0.2584392336359873,False
ATC_M3_AL24477,B0,WFS,5.0,0.7,-0.06584689287443085,exact,-0.06584689287443085,-0.06584689287443085,False
ATC_M3_AL24477,C0,WFS,5.0,0.3,0.26729425171651533,lower_bound,0.26729425171651533,,False
ATC_M3_AL24477,C0,WFS,5.0,0.5,-0.07907691636589109,exact,-0.07907691636589109,-0.07907691636589109,False
ATC_M3_AL24477,C0,WFS,5.0,0.7,-0.21257354979365178,exact,-0.21257354979365178,-0.21257354979365178,False
ATC_M3_AL24477,A0,RAD,3.0,0.3,-0.015527593578131271,indeterminate,,,False
ATC_M3_AL24477,A0,RAD,3.0,0.5,-0.015902407279617392,indeterminate,,,False
ATC_M3_AL24477,A0,RAD,3.0,0.7,-0.005335188096488475,exact,-0.005335188096488475,-0.005335188096488475,False
ATC_M3_AL24477,B0,RAD,3.0,0.3,-0.20545938865664215,indeterminate,,,False
ATC_M3_AL24477,B0,RAD,3.0,0.5,-0.07437616260684249,indeterminate,,,False
ATC_M3_AL24477,B0,RAD,3.0,0.7,-0.040619269208150566,lower_bound,-0.040619269208150566,,False
ATC_M3_AL24477,C0,RAD,3.0,0.3,0.008030110821366732,indeterminate,,,False
ATC_M3_AL24477,C0,RAD,3.0,0.5,-0.0038460533321377777,indeterminate,,,False
ATC_M3_AL24477,C0,RAD,3.0,0.7,0.0031819596828270846,exact,0.0031819596828270846,0.0031819596828270846,False
ATC_M3_AL24477,A0,RAD,5.0,0.3,0.09985552106559026,lower_bound,0.09985552106559026,,False
ATC_M3_AL24477,A0,RAD,5.0,0.5,0.5969782497833063,exact,0.5969782497833063,0.5969782497833063,False
ATC_M3_AL24477,A0,RAD,5.0,0.7,0.01219379002732035,exact,0.01219379002732035,0.01219379002732035,False
ATC_M3_AL24477,B0,RAD,5.0,0.3,-0.24296903371843004,lower_bound,-0.24296903371843004,,False
ATC_M3_AL24477,B0,RAD,5.0,0.5,-0.42050178159985097,exact,-0.42050178159985097,-0.42050178159985097,False
ATC_M3_AL24477,B0,RAD,5.0,0.7,0.2190660689292328,exact,0.2190660689292328,0.2190660689292328,False
ATC_M3_AL24477,C0,RAD,5.0,0.3,-0.8311273612669814,lower_bound,-0.8311273612669814,,False
ATC_M3_AL24477,C0,RAD,5.0,0.5,0.30164909702704845,lower_bound,0.30164909702704845,,False
ATC_M3_AL24477,C0,RAD,5.0,0.7,-0.02571397157183203,exact,-0.02571397157183203,-0.02571397157183203,False
ATC_M3_AL24477,A0,HOA,3.0,0.3,-0.03933886809710696,exact,-0.03933886809710696,-0.03933886809710696,False
ATC_M3_AL24477,A0,HOA,3.0,0.5,-0.03553294085801917,exact,-0.03553294085801917,-0.03553294085801917,False
ATC_M3_AL24477,A0,HOA,3.0,0.7,-0.012838465039111513,exact,-0.012838465039111513,-0.012838465039111513,False
ATC_M3_AL24477,B0,HOA,3.0,0.3,-0.045572483236867134,exact,-0.045572483236867134,-0.045572483236867134,False
ATC_M3_AL24477,B0,HOA,3.0,0.5,-0.1510638644853135,exact,-0.1510638644853135,-0.1510638644853135,False
