config_id,pair_key,base_id,cornea_id,platform_id,pupil_mm,optic_state,reference_config_id,common_threshold,common_dof50_width_d,common_dof50_far_censored,common_dof50_near_censored
R8_R6_LB_AL2395_C0_HOA_EDOF_EPD3,R6_LB_AL2395_C0_HOA_EPD3,LB_AL2395,C0,HOA,3.0,EDOF,R8_R6_LB_AL2395_N0_HOA_MONO_EPD3,0.27703948490897373,0.0,False,False
R8_R6_LB_AL2395_C0_HOA_MONO_EPD5,R6_LB_AL2395_C0_HOA_EPD5,LB_AL2395,C0,HOA,5.0,MONO,R8_R6_LB_AL2395_N0_HOA_MONO_EPD5,0.10072910970294675,1.387844505107228,True,False
R8_R6_LB_AL2395_C0_HOA_EDOF_EPD5,R6_LB_AL2395_C0_HOA_EPD5,LB_AL2395,C0,HOA,5.0,EDOF,R8_R6_LB_AL2395_N0_HOA_MONO_EPD5,0.10072910970294675,0.7214184626605962,False,False
R8_R6_ATC_M3_AL24477_N0_WFS_MONO_EPD3,R6_ATC_M3_AL24477_N0_WFS_EPD3,ATC_M3_AL24477,N0,WFS,3.0,MONO,R8_R6_ATC_M3_AL24477_N0_WFS_MONO_EPD3,0.3181338364356005,0.4487415421507896,False,False
R8_R6_ATC_M3_AL24477_N0_WFS_EDOF_EPD3,R6_ATC_M3_AL24477_N0_WFS_EPD3,ATC_M3_AL24477,N0,WFS,3.0,EDOF,R8_R6_ATC_M3_AL24477_N0_WFS_MONO_EPD3,0.3181338364356005,0.38080133967411833,False,False
R8_R6_ATC_M3_AL24477_N0_WFS_MONO_EPD5,R6_ATC_M3_AL24477_N0_WFS_EPD5,ATC_M3_AL24477,N0,WFS,5.0,MONO,R8_R6_ATC_M3_AL24477_N0_WFS_MONO_EPD5,0.16486725210838477,0.7869695865287896,False,False
R8_R6_ATC_M3_AL24477_N0_WFS_EDOF_EPD5,R6_ATC_M3_AL24477_N0_WFS_EPD5,ATC_M3_AL24477,N0,WFS,5.0,EDOF,R8_R6_ATC_M3_AL24477_N0_WFS_MONO_EPD5,0.16486725210838477,0.7449072649208967,False,False
R8_R6_ATC_M3_AL24477_N0_RAD_MONO_EPD3,R6_ATC_M3_AL24477_N0_RAD_EPD3,ATC_M3_AL24477,N0,RAD,3.0,MONO,R8_R6_ATC_M3_AL24477_N0_RAD_MONO_EPD3,0.3211262585441685,0.45001915601537085,False,False
R8_R6_ATC_M3_AL24477_N0_RAD_EDOF_EPD3,R6_ATC_M3_AL24477_N0_RAD_EPD3,ATC_M3_AL24477,N0,RAD,3.0,EDOF,R8_R6_ATC_M3_AL24477_N0_RAD_MONO_EPD3,0.3211262585441685,0.0,False,False
R8_R6_ATC_M3_AL24477_N0_RAD_MONO_EPD5,R6_ATC_M3_AL24477_N0_RAD_EPD5,ATC_M3_AL24477,N0,RAD,5.0,MONO,R8_R6_ATC_M3_AL24477_N0_RAD_MONO_EPD5,0.21773435019515724,0.5230574019232528,False,False
