pair_key,base_id,cornea_id,platform_id,pupil_mm,carrier_key,mono_config_id,edof_config_id,mono_peak_search_censored,edof_peak_search_censored,delta_mtfa_at_zero_d,delta_peak_mtfa,delta_tf_mtfa_mean,mono_tf_mtfa_mean_original_window,edof_tf_mtfa_mean_original_window,delta_tf_mtfa_mean_original_window,mono_dof30_d,edof_dof30_d,mono_dof30_far_censored,mono_dof30_near_censored,edof_dof30_far_censored,edof_dof30_near_censored,delta_dof30_d,mono_dof50_d,edof_dof50_d,mono_dof50_far_censored,mono_dof50_near_censored,edof_dof50_far_censored,edof_dof50_near_censored,delta_dof50_d,mono_dof70_d,edof_dof70_d,mono_dof70_far_censored,mono_dof70_near_censored,edof_dof70_far_censored,edof_dof70_near_censored,delta_dof70_d
R6_ATC_M3_AL24477_N0_RAD_EPD3,ATC_M3_AL24477,N0,RAD,3.0,R6_ATC_M3_AL24477_N0_RAD,R8_R6_ATC_M3_AL24477_N0_RAD_MONO_EPD3,R8_R6_ATC_M3_AL24477_N0_RAD_EDOF_EPD3,False,False,-0.5045757281537306,-0.3327535421467538,-0.01699474619114283,0.14096701447244245,0.08246408540530069,-0.05850292906714176,0.7685540362186963,1.2501670402265275,False,False,True,False,0.48161300400783114,0.45001915601537085,0.9773337858690967,False,False,True,False,0.5273146298537259,0.3115106820094747,0.35079697502473467,False,False,False,False,0.03928629301525999
R6_ATC_M3_AL24477_N0_RAD_EPD5,ATC_M3_AL24477,N0,RAD,5.0,R6_ATC_M3_AL24477_N0_RAD,R8_R6_ATC_M3_AL24477_N0_RAD_MONO_EPD5,R8_R6_ATC_M3_AL24477_N0_RAD_EDOF_EPD5,False,False,-0.2205997459583196,-0.20381507105419927,-0.006398758125503071,0.10733980861691599,0.08513300734203964,-0.022206801274876342,0.9262227266882437,1.9537253442783462,False,False,False,False,1.0275026175901025,0.5230574019232528,0.6138065291777833,False,False,False,False,0.09074912725453055,0.2811571373146464,0.33661703464563053,False,False,False,False,0.05545989733098411
R6_ATC_M3_AL24477_N0_WFS_EPD3,ATC_M3_AL24477,N0,WFS,3.0,R6_ATC_M3_AL24477_N0_WFS,R8_R6_ATC_M3_AL24477_N0_WFS_MONO_EPD3,R8_R6_ATC_M3_AL24477_N0_WFS_EDOF_EPD3,False,False,-0.15336842553044566,-0.15336842553044566,-0.0022028863335062238,0.14156712042430236,0.1315569349340405,-0.010010185490261864,0.7841600494235283,1.2883364641423036,False,False,False,False,0.5041764147187753,0.4487415421507896,0.5370143578379369,False,False,False,False,0.08827281568714734,0.31273033084656665,0.34578721961016146,False,False,False,False,0.033056888763594805
R6_ATC_M3_AL24477_N0_WFS_EPD5,ATC_M3_AL24477,N0,WFS,5.0,R6_ATC_M3_AL24477_N0_WFS,R8_R6_ATC_M3_AL24477_N0_WFS_MONO_EPD5,R8_R6_ATC_M3_AL24477_N0_WFS_EDOF_EPD5,False,False,-0.06274181995956088,-0.05511183047066076,-0.0009201482555681456,0.1075808564652351,0.10360751014355606,-0.003973346321679047,1.3733524996499158,1.6696488789424886,False,False,False,False,0.2962963792925728,0.7869695865287896,0.9245321202099817,False,False,False,False,0.1375625336811921,0.374838005577577,0.6057707638892919,False,False,False,False,0.23093275831171484
R6_LB_AL2395_A0_HOA_EPD3,LB_AL2395,A0,HOA,3.0,R6_LB_AL2395_A0_HOA,R8_R6_LB_AL2395_A0_HOA_MONO_EPD3,R8_R6_LB_AL2395_A0_HOA_EDOF_EPD3,False,False,-0.3834451876245376,-0.3146824159062355,-0.04013112395135996,0.14319149007752824,0.07878189837033771,-0.06440959170719053,1.1375196801048646,1.5079500695971313,False,False,False,False,0.3704303894922667,0.550721783995916,0.6315775431210535,False,False,False,False,0.08085575912513754,0.35586274799440537,0.412811576516125,False,False,False,False,0.05694882852171962
R6_LB_AL2395_A0_HOA_EPD5,LB_AL2395,A0,HOA,5.0,R6_LB_AL2395_A0_HOA,R8_R6_LB_AL2395_A0_HOA_MONO_EPD5,R8_R6_LB_AL2395_A0_HOA_EDOF_EPD5,False,False,-0.1305617907646653,-0.04693023208541697,-0.011601455533643591,0.09359642793364628,0.07515194703650362,-0.018444480897142665,2.7384310339262146,2.9196363269103403,False,False,False,False,0.1812052929841257,1.6494028217616168,1.612788988835702,False,False,False,False,-0.03661383292591469,0.5031286929167553,0.5626467157302528,False,False,False,False,0.059518022813497495
R6_LB_AL2395_A0_RAD_EPD3,LB_AL2395,A0,RAD,3.0,R6_LB_AL2395_A0_RAD,R8_R6_LB_AL2395_A0_RAD_MONO_EPD3,R8_R6_LB_AL2395_A0_RAD_EDOF_EPD3,False,False,-0.5067091058307884,-0.33355857444019504,-0.018666731658599903,0.1424383419093059,0.0793305678330252,-0.06310777407628071,0.796217473245667,1.2334818119034763,False,False,True,False,0.4372643386578092,0.45359432388149895,0.9470181796061705,False,False,True,False,0.49342385572467157,0.317000079003977,0.3276768479407499,False,False,True,False,0.01067676893677294
R6_LB_AL2395_A0_RAD_EPD5,LB_AL2395,A0,RAD,5.0,R6_LB_AL2395_A0_RAD,R8_R6_LB_AL2395_A0_RAD_MONO_EPD5,R8_R6_LB_AL2395_A0_RAD_EDOF_EPD5,False,False,-0.18159998959454426,-0.1537169164474563,-0.00888531876881115,0.10498734235910559,0.0787948561143021,-0.026192486244803484,1.335096352540329,2.4350580900991172,False,False,True,False,1.0999617375587882,0.7219526771077633,1.586381249446129,False,False,False,False,0.8644285723383656,0.3337614765502147,0.42536597816327204,False,False,False,False,0.09160450161305733
R6_LB_AL2395_A0_WFS_EPD3,LB_AL2395,A0,WFS,3.0,R6_LB_AL2395_A0_WFS,R8_R6_LB_AL2395_A0_WFS_MONO_EPD3,R8_R6_LB_AL2395_A0_WFS_EDOF_EPD3,False,False,-0.1717994700822097,-0.1717994700822097,-0.0032033048471903774,0.14324206581262877,0.1306641952251176,-0.01257787058751117,0.8347601880774578,1.4778163696294415,False,False,False,False,0.6430561815519837,0.46519507990884745,0.6252567979179421,False,False,False,False,0.16006171800909463,0.32317798265272624,0.3741142609649575,False,False,False,False,0.05093627831223124
R6_LB_AL2395_A0_WFS_EPD5,LB_AL2395,A0,WFS,5.0,R6_LB_AL2395_A0_WFS,R8_R6_LB_AL2395_A0_WFS_MONO_EPD5,R8_R6_LB_AL2395_A0_WFS_EDOF_EPD5,False,False,-0.06516761318978778,-0.048256103191604754,-0.0010453304404723363,0.10281338675532403,0.0984006937247138,-0.004412693030610232,1.7829869025570466,2.3542507710889717,False,False,False,False,0.5712638685319251,0.9941475020810463,1.2542868882680356,False,False,False,False,0.2601393861869893,0.41880610252449696,0.7641442324444587,False,False,False,False,0.34533812991996177
