pair_key,mono_config_id,edof_config_id,distance_peak_retina_d,distance_peak_mtfa,mtfa_at_zero_d,dof50_width_d,tf_mtfa_mean,c40_um,c60_um,hoa_rms_um,delta_f_residual_d
R6_ATC_M3_AL24477_C0_WFS_EPD5,R8_R6_ATC_M3_AL24477_C0_WFS_MONO_EPD5,R8_R6_ATC_M3_AL24477_C0_WFS_EDOF_EPD5,0.0,-0.058514823051167675,-0.058514823051167675,0.09656701170476878,-0.0026916934750472604,-0.0006955697813956219,-0.0052413698380614215,-0.00023602447104847935,0.0
R6_ATC_M3_AL24477_N0_HOA_EPD3,R8_R6_ATC_M3_AL24477_N0_HOA_MONO_EPD3,R8_R6_ATC_M3_AL24477_N0_HOA_EDOF_EPD3,-0.25,-0.3456080789019693,-0.41479305287688983,0.18303149991651158,-0.0631204524484492,-0.03388633924268877,0.10731124757315297,0.07171013299252474,-0.25
R6_ATC_M3_AL24477_N0_HOA_EPD5,R8_R6_ATC_M3_AL24477_N0_HOA_MONO_EPD5,R8_R6_ATC_M3_AL24477_N0_HOA_EDOF_EPD5,-0.25,-0.05318132376364501,-0.14343803009300793,-0.18050605738235426,-0.02014864374046811,0.00026326696898137936,0.006793941236847626,0.0004543657852600358,-0.25
R6_ATC_M3_AL24477_N0_RAD_EPD3,R8_R6_ATC_M3_AL24477_N0_RAD_MONO_EPD3,R8_R6_ATC_M3_AL24477_N0_RAD_EDOF_EPD3,0.25,-0.3327535421467538,-0.5045757281537306,0.03243586620693756,-0.05663453181405191,-0.004821626121368419,-0.21273972927309556,0.20676059558871057,0.25
R6_ATC_M3_AL24477_N0_RAD_EPD5,R8_R6_ATC_M3_AL24477_N0_RAD_MONO_EPD5,R8_R6_ATC_M3_AL24477_N0_RAD_EDOF_EPD5,-0.25,-0.1058708042719724,-0.2205997459583196,0.3294531740274578,-0.02069548163882816,-0.14433464067402083,0.10165568098243381,0.02518563847632399,-0.25
R6_ATC_M3_AL24477_N0_WFS_EPD3,R8_R6_ATC_M3_AL24477_N0_WFS_MONO_EPD3,R8_R6_ATC_M3_AL24477_N0_WFS_EDOF_EPD3,0.0,-0.15336842553044566,-0.15336842553044566,0.11511669710237771,-0.00818581523106987,0.022940607530275367,-0.023420002427004174,0.029358013119377795,0.0
R6_ATC_M3_AL24477_N0_WFS_EPD5,R8_R6_ATC_M3_AL24477_N0_WFS_MONO_EPD5,R8_R6_ATC_M3_AL24477_N0_WFS_EDOF_EPD5,-0.25,-0.010541316489511565,-0.06274181995956088,0.03504215385864473,-0.0027208353346698383,-0.0005157837866419934,-0.005347833752967635,-0.0007485053096136229,-0.25
R6_LB_AL2395_A0_HOA_EPD3,R8_R6_LB_AL2395_A0_HOA_MONO_EPD3,R8_R6_LB_AL2395_A0_HOA_EDOF_EPD3,-0.25,-0.3146824159062355,-0.3834451876245376,0.12151461504723304,-0.06443321379146848,-0.03733523875345559,0.10303574416622947,0.06044747822952925,-0.25
R6_LB_AL2395_A0_HOA_EPD5,R8_R6_LB_AL2395_A0_HOA_MONO_EPD5,R8_R6_LB_AL2395_A0_HOA_EDOF_EPD5,-0.5,-0.05875612871762456,-0.1305617907646653,0.04724077209214794,-0.017884512231117283,-0.00010751360497052165,0.008237911246582005,0.0005083544088185232,-0.5
R6_LB_AL2395_A0_RAD_EPD3,R8_R6_LB_AL2395_A0_RAD_MONO_EPD3,R8_R6_LB_AL2395_A0_RAD_EDOF_EPD3,0.25,-0.3466934922128891,-0.5067091058307884,0.03248136440508931,-0.0617740289789417,-0.015591074290189605,-0.21295680319437993,0.19719937038516028,0.25
R6_LB_AL2395_A0_RAD_EPD5,R8_R6_LB_AL2395_A0_RAD_MONO_EPD5,R8_R6_LB_AL2395_A0_RAD_EDOF_EPD5,-0.5,-0.09830159128203439,-0.18159998959454426,0.5276446754159414,-0.025523233062818923,-0.136559318466502,0.10142986754567622,-0.046492997754749216,-0.5
R6_LB_AL2395_A0_WFS_EPD3,R8_R6_LB_AL2395_A0_WFS_MONO_EPD3,R8_R6_LB_AL2395_A0_WFS_EDOF_EPD3,0.0,-0.1717994700822097,-0.1717994700822097,0.23163812039211207,-0.010952592493976537,0.022800120100436392,-0.02397366902795608,0.028442286456896428,0.0
R6_LB_AL2395_A0_WFS_EPD5,R8_R6_LB_AL2395_A0_WFS_MONO_EPD5,R8_R6_LB_AL2395_A0_WFS_EDOF_EPD5,-0.25,-0.022911174816966806,-0.06516761318978778,0.10864225407470252,-0.0061531649181929965,-0.0009613750962589596,-0.00509209159399503,-0.0015010232904905108,-0.25
R6_LB_AL2395_B0_HOA_EPD3,R8_R6_LB_AL2395_B0_HOA_MONO_EPD3,R8_R6_LB_AL2395_B0_HOA_EDOF_EPD3,-0.25,-0.20979494426570114,-0.2906887120838939,-0.043185434052602445,-0.059287678264369814,-0.037276841144009004,0.10334725251086106,0.042610628954420596,-0.25
R6_LB_AL2395_B0_HOA_EPD5,R8_R6_LB_AL2395_B0_HOA_MONO_EPD5,R8_R6_LB_AL2395_B0_HOA_EDOF_EPD5,-0.5,-0.04298025062939036,-0.09697456129325932,0.28979885638386715,-0.013408094049717337,-8.762538524620389e-05,0.008106619868253288,3.411363249472554e-05,-0.5
R6_LB_AL2395_B0_RAD_EPD3,R8_R6_LB_AL2395_B0_RAD_MONO_EPD3,R8_R6_LB_AL2395_B0_RAD_EDOF_EPD3,0.25,-0.2840693471781838,-0.43030341841183584,-0.002117882486720013,-0.06531043071539144,-0.01360478226672401,-0.21293042513551438,0.1771132677765403,0.25
R6_LB_AL2395_B0_RAD_EPD5,R8_R6_LB_AL2395_B0_RAD_MONO_EPD5,R8_R6_LB_AL2395_B0_RAD_EDOF_EPD5,0.25,-0.0670836449754231,-0.12650996541068907,-0.9628294880918479,-0.022163537713296516,-0.13723852984987314,0.10152061515181794,-0.10644289835036813,0.25
R6_LB_AL2395_B0_WFS_EPD3,R8_R6_LB_AL2395_B0_WFS_MONO_EPD3,R8_R6_LB_AL2395_B0_WFS_EDOF_EPD3,0.0,-0.18803896673867238,-0.18803896673867238,0.5084099357926097,-0.015662159391620523,0.022852136518899925,-0.023937734293922434,0.026871022844842475,0.0
R6_LB_AL2395_B0_WFS_EPD5,R8_R6_LB_AL2395_B0_WFS_MONO_EPD5,R8_R6_LB_AL2395_B0_WFS_EDOF_EPD5,-0.5,-0.03713001226024751,-0.06589396139892663,0.7425648857759279,-0.004121858125419445,-0.0009310051956928911,-0.0051221191679426525,-0.0009852390414947232,-0.5
R6_LB_AL2395_C0_HOA_EPD3,R8_R6_LB_AL2395_C0_HOA_MONO_EPD3,R8_R6_LB_AL2395_C0_HOA_EDOF_EPD3,-0.25,-0.34121151623175117,-0.4048975326365404,0.14162997684821865,-0.06426410550480094,-0.03686227000917653,0.10485417686104617,0.06657358346042686,-0.25
R6_LB_AL2395_C0_HOA_EPD5,R8_R6_LB_AL2395_C0_HOA_MONO_EPD5,R8_R6_LB_AL2395_C0_HOA_EDOF_EPD5,-0.25,-0.1757947690611536,-0.1758910127042786,0.25705451530271783,-0.023007791762657305,-7.309564936688884e-05,0.00783445800303438,0.002787105712045851,-0.25
R6_LB_AL2395_C0_RAD_EPD3,R8_R6_LB_AL2395_C0_RAD_MONO_EPD3,R8_R6_LB_AL2395_C0_RAD_EDOF_EPD3,0.25,-0.3402685097257996,-0.508826532023097,0.02834678997063339,-0.059010683470963624,-0.009601514693619216,-0.21304288110545627,0.20582620892789,0.25
R6_LB_AL2395_C0_RAD_EPD5,R8_R6_LB_AL2395_C0_RAD_MONO_EPD5,R8_R6_LB_AL2395_C0_RAD_EDOF_EPD5,0.5,-0.16694762971969718,-0.218199969370163,0.16383333783166576,-0.0224920857866565,-0.14019912759673286,0.10142275548046922,0.1613040654786368,0.5
R6_LB_AL2395_C0_WFS_EPD3,R8_R6_LB_AL2395_C0_WFS_MONO_EPD3,R8_R6_LB_AL2395_C0_WFS_EDOF_EPD3,0.0,-0.16269135781296923,-0.16269135781296923,0.14797699260087283,-0.00909373133491373,0.022924427356583694,-0.023802978877553498,0.029924887995547347,0.0
R6_LB_AL2395_C0_WFS_EPD5,R8_R6_LB_AL2395_C0_WFS_MONO_EPD5,R8_R6_LB_AL2395_C0_WFS_EDOF_EPD5,0.0,-0.06257885104059849,-0.06257885104059849,0.3249052686913355,-0.0032208326000691054,-0.0008234499248763738,-0.00519338098289495,-0.0001794942691523138,0.0
R6_LB_AL2395_N0_HOA_EPD3,R8_R6_LB_AL2395_N0_HOA_MONO_EPD3,R8_R6_LB_AL2395_N0_HOA_EDOF_EPD3,-0.25,-0.3363434678530299,-0.4010810057694593,0.14833689277075746,-0.06385979432164043,-0.036096772663978344,0.10641948399307424,0.06825794566279629,-0.25
R6_LB_AL2395_N0_HOA_EPD5,R8_R6_LB_AL2395_N0_HOA_MONO_EPD5,R8_R6_LB_AL2395_N0_HOA_EDOF_EPD5,-0.25,-0.060193796959925605,-0.13822305386406608,-0.0909636308642614,-0.02051411240781012,0.00014572507106674903,0.00747769686340024,0.0003640675499191892,-0.25
R6_LB_AL2395_N0_RAD_EPD3,R8_R6_LB_AL2395_N0_RAD_MONO_EPD3,R8_R6_LB_AL2395_N0_RAD_EDOF_EPD3,0.25,-0.3332210833537792,-0.5078229890683,0.032568323269492605,-0.05762750290628907,-0.0049286273206887825,-0.2128800453308046,0.2033893428747421,0.25
R6_LB_AL2395_N0_RAD_EPD5,R8_R6_LB_AL2395_N0_RAD_MONO_EPD5,R8_R6_LB_AL2395_N0_RAD_EDOF_EPD5,-0.5,-0.11565564543301918,-0.192560368064697,0.4641684723686813,-0.020697514690355093,-0.1426562588908566,0.10146508708633314,-0.0064825493811554585,-0.5
R6_LB_AL2395_N0_WFS_EPD3,R8_R6_LB_AL2395_N0_WFS_MONO_EPD3,R8_R6_LB_AL2395_N0_WFS_EDOF_EPD3,0.0,-0.16136240698764387,-0.16136240698764387,0.14159845696305828,-0.009042243762689861,0.023000065984215737,-0.023607093188102533,0.02907698510311642,0.0
R6_LB_AL2395_N0_WFS_EPD5,R8_R6_LB_AL2395_N0_WFS_MONO_EPD5,R8_R6_LB_AL2395_N0_WFS_EDOF_EPD5,-0.25,-0.0070055074866848255,-0.06319123720974962,-0.0010237923222495837,-0.004430574204606852,-0.0006682054494117073,-0.005289502643945416,-0.0008631971929017601,-0.25
