pair_key,mono_config_id,edof_config_id,distance_peak_retina_d,distance_peak_mtfa,mtfa_at_zero_d,dof50_width_d,tf_mtfa_mean,c40_um,c60_um,hoa_rms_um,delta_f_residual_d
R6_LB_AL2395_B0_WFS_EPD3,R8_R6_LB_AL2395_B0_WFS_MONO_EPD3,R8_R6_LB_AL2395_B0_WFS_EDOF_EPD3,0.0,-0.18803896673867238,-0.18803896673867238,0.6533771960589088,-0.005306858420251387,0.022852136518899925,-0.023937734293922434,0.026871022844842475,0.0
R6_LB_AL2395_B0_WFS_EPD5,R8_R6_LB_AL2395_B0_WFS_MONO_EPD5,R8_R6_LB_AL2395_B0_WFS_EDOF_EPD5,-0.375,-0.021092651828922282,-0.06589396139892663,0.49429285954694335,-0.0011638640315827925,-0.0009310051956928911,-0.0051221191679426525,-0.0009852390414947232,-0.375
R6_LB_AL2395_C0_HOA_EPD3,R8_R6_LB_AL2395_C0_HOA_MONO_EPD3,R8_R6_LB_AL2395_C0_HOA_EDOF_EPD3,-0.25,-0.34121151623175117,-0.4048975326365404,0.10107148512520803,-0.03947431237300356,-0.03686227000917653,0.10485417686104617,0.06657358346042686,-0.25
R6_LB_AL2395_C0_HOA_EPD5,R8_R6_LB_AL2395_C0_HOA_MONO_EPD5,R8_R6_LB_AL2395_C0_HOA_EDOF_EPD5,0.75,-0.10336381388088292,-0.1758910127042786,0.2275377017827831,-0.014586714178849582,-7.309564936688884e-05,0.00783445800303438,0.002787105712045851,0.75
R6_LB_AL2395_C0_RAD_EPD3,R8_R6_LB_AL2395_C0_RAD_MONO_EPD3,R8_R6_LB_AL2395_C0_RAD_EDOF_EPD3,0.25,-0.3402685097257996,-0.508826532023097,0.5190621585393037,-0.0177047455965577,-0.009601514693619216,-0.21304288110545627,0.20582620892789,0.25
R6_LB_AL2395_C0_RAD_EPD5,R8_R6_LB_AL2395_C0_RAD_MONO_EPD5,R8_R6_LB_AL2395_C0_RAD_EDOF_EPD5,0.75,-0.08727403124099309,-0.218199969370163,0.36478835568716184,-0.005080509641576525,-0.14019912759673286,0.10142275548046922,0.1613040654786368,0.75
R6_LB_AL2395_C0_WFS_EPD3,R8_R6_LB_AL2395_C0_WFS_MONO_EPD3,R8_R6_LB_AL2395_C0_WFS_EDOF_EPD3,0.0,-0.16269135781296923,-0.16269135781296923,0.1109207147393052,-0.0025038404458608277,0.022924427356583694,-0.023802978877553498,0.029924887995547347,0.0
R6_LB_AL2395_C0_WFS_EPD5,R8_R6_LB_AL2395_C0_WFS_MONO_EPD5,R8_R6_LB_AL2395_C0_WFS_EDOF_EPD5,0.0,-0.06257885104059849,-0.06257885104059849,0.09080811423305873,-0.0007767217673462362,-0.0008234499248763738,-0.00519338098289495,-0.0001794942691523138,0.0
R6_LB_AL2395_N0_HOA_EPD3,R8_R6_LB_AL2395_N0_HOA_MONO_EPD3,R8_R6_LB_AL2395_N0_HOA_EDOF_EPD3,-0.25,-0.3363434678530299,-0.4010810057694593,0.10642905349319332,-0.03932704306316922,-0.036096772663978344,0.10641948399307424,0.06825794566279629,-0.25
R6_LB_AL2395_N0_HOA_EPD5,R8_R6_LB_AL2395_N0_HOA_MONO_EPD5,R8_R6_LB_AL2395_N0_HOA_EDOF_EPD5,-0.375,-0.04321162884005969,-0.13822305386406608,-0.2360475966461375,-0.011019324551297956,0.00014572507106674903,0.00747769686340024,0.0003640675499191892,-0.375
R6_LB_AL2395_N0_RAD_EPD3,R8_R6_LB_AL2395_N0_RAD_MONO_EPD3,R8_R6_LB_AL2395_N0_RAD_EDOF_EPD3,0.25,-0.3332210833537792,-0.5078229890683,0.5225735095502795,-0.017146351530235,-0.0049286273206887825,-0.2128800453308046,0.2033893428747421,0.25
R6_LB_AL2395_N0_RAD_EPD5,R8_R6_LB_AL2395_N0_RAD_MONO_EPD5,R8_R6_LB_AL2395_N0_RAD_EDOF_EPD5,-0.25,-0.1813970108126439,-0.192560368064697,0.07894793727054239,-0.006720966843352064,-0.1426562588908566,0.10146508708633314,-0.0064825493811554585,-0.25
R6_LB_AL2395_N0_WFS_EPD3,R8_R6_LB_AL2395_N0_WFS_MONO_EPD3,R8_R6_LB_AL2395_N0_WFS_EDOF_EPD3,0.0,-0.16136240698764387,-0.16136240698764387,0.10690698364535173,-0.00242332211824757,0.023000065984215737,-0.023607093188102533,0.02907698510311642,0.0
R6_LB_AL2395_N0_WFS_EPD5,R8_R6_LB_AL2395_N0_WFS_MONO_EPD5,R8_R6_LB_AL2395_N0_WFS_EDOF_EPD5,-0.125,-0.05164408920229052,-0.06319123720974962,0.10570676712092575,-0.001022747652292627,-0.0006682054494117073,-0.005289502643945416,-0.0008631971929017601,-0.125
