config_id,pair_key,state,sampling,defocus_retina_d,defocus_shape_d,mtfa,mtf10,mtf20,mtf30,mtf40,mtf50,mtf60
CFG_LB_AL2395_A0_WFS_EDOF_EPD3,CAR_LB_AL2395_A0_WFS_EPD3,EDOF,128,0.0,0.0,0.41990857465983306,0.681336053329809,0.42615826713380295,0.3165219038537139,0.2532888607243273,0.24729657933768676,0.20428145222798272
CFG_LB_AL2395_A0_WFS_EDOF_EPD3,CAR_LB_AL2395_A0_WFS_EPD3,EDOF,128,-0.25,-0.25,0.24910607450875666,0.6368170725428721,0.23069766285872817,0.018986500969510045,0.0463138653924315,0.029007558400839444,0.11986193406908933
CFG_LB_AL2395_A0_WFS_EDOF_EPD3,CAR_LB_AL2395_A0_WFS_EPD3,EDOF,128,-0.5,-0.5,0.1768549854783036,0.3698329693943619,0.05848768890203025,0.03600631268222951,0.05993147365609326,0.06495479077139722,0.055986344639930075
CFG_LB_AL2395_A0_WFS_EDOF_EPD3,CAR_LB_AL2395_A0_WFS_EPD3,EDOF,128,-0.75,-0.75,0.13309072158041052,0.035043956225084986,0.019269939869516528,0.08778304647174791,0.016571859883894015,0.015001976919789758,0.005832549093761354
CFG_LB_AL2395_A0_WFS_EDOF_EPD3,CAR_LB_AL2395_A0_WFS_EPD3,EDOF,128,-1.0,-1.0,0.10260621730886905,0.1636301539098583,0.14094526154549034,0.01516833702965747,0.0028795490000423926,0.008075466121036734,0.013161265424012115
CFG_LB_AL2395_A0_WFS_EDOF_EPD3,CAR_LB_AL2395_A0_WFS_EPD3,EDOF,128,-1.25,-1.25,0.08602922970350016,0.13819914173823683,0.000599650245888533,0.022063476467695384,6.043415189166443e-05,0.0026423748111679326,0.008901781006262386
CFG_LB_AL2395_A0_WFS_EDOF_EPD3,CAR_LB_AL2395_A0_WFS_EPD3,EDOF,128,-1.5,-1.5,0.07385125717361452,0.02206663799883911,0.05201449292304734,0.0034718402487224726,0.0019249223438746856,0.0025877406815239946,0.004621934521363388
CFG_LB_AL2395_A0_WFS_EDOF_EPD3,CAR_LB_AL2395_A0_WFS_EPD3,EDOF,128,-1.75,-1.75,0.06661477910833116,0.1461671741817197,0.03603529638329902,0.01390517137244569,0.006205434846175107,0.0037567307890163425,0.0038128967212560988
CFG_LB_AL2395_A0_WFS_EDOF_EPD3,CAR_LB_AL2395_A0_WFS_EPD3,EDOF,128,-2.0,-2.0,0.057166435493240166,0.13568321683128226,0.0008944205435768875,0.0027112282198710124,0.002234403012487534,0.002171838334881572,0.0016706356138060916
CFG_LB_AL2395_A0_WFS_EDOF_EPD3,CAR_LB_AL2395_A0_WFS_EPD3,EDOF,128,-2.25,-2.25,0.05116583664951798,0.03057862578676294,0.029151367436531503,0.0028907564672154143,0.003884398014258137,0.0009133554208973584,0.000935182339327934
CFG_LB_AL2395_A0_WFS_EDOF_EPD3,CAR_LB_AL2395_A0_WFS_EPD3,EDOF,128,-2.5,-2.5,0.04528458702037615,0.060458202600295066,0.016273557692536793,0.004714613154658301,0.0011676002201812439,0.001181766162389829,0.0013962035788885473
CFG_LB_AL2395_A0_WFS_EDOF_EPD3,CAR_LB_AL2395_A0_WFS_EPD3,EDOF,128,-2.75,-2.75,0.040697029779801656,0.07438688785802755,0.0027539599838101066,0.00646373165816824,0.0015358061703726808,0.0010811406871187265,0.0024708308833705918
CFG_LB_AL2395_A0_WFS_EDOF_EPD3,CAR_LB_AL2395_A0_WFS_EPD3,EDOF,128,-3.0,-3.0,0.036639597826536176,0.03434442574076895,0.009220879801212915,0.005723845781621176,0.00101798312964499,0.0013683510559601617,0.0021449850273222515
CFG_ATC_M3_AL24477_B0_RAD_MONO_EPD5,CAR_ATC_M3_AL24477_B0_RAD_EPD5,MONO,128,0.5,0.75,0.06769746541606421,0.08692048570091851,0.034263735901393456,0.014280379354981653,0.0011746299167006366,0.002977447438249152,0.003651918116096791
CFG_ATC_M3_AL24477_B0_RAD_MONO_EPD5,CAR_ATC_M3_AL24477_B0_RAD_EPD5,MONO,128,0.25,0.5,0.12189386370859068,0.18161554702176494,0.10045093357459145,0.06893953670230926,0.032763101650353746,0.016011355462914535,0.007330794877786848
CFG_ATC_M3_AL24477_B0_RAD_MONO_EPD5,CAR_ATC_M3_AL24477_B0_RAD_EPD5,MONO,128,0.0,0.25,0.23655771140340845,0.33752665042904184,0.2451239833361644,0.19183068049728724,0.14922230110621146,0.1125345025380194,0.07265761552826215
CFG_ATC_M3_AL24477_B0_RAD_MONO_EPD5,CAR_ATC_M3_AL24477_B0_RAD_EPD5,MONO,128,-0.25,0.0,0.24001051956081906,0.4214746670521982,0.26759502338347635,0.14552426413356154,0.08417243667471681,0.06604342660004542,0.07822349403860775
CFG_ATC_M3_AL24477_B0_RAD_MONO_EPD5,CAR_ATC_M3_AL24477_B0_RAD_EPD5,MONO,128,-0.5,-0.25,0.17281929277273902,0.39058299161747867,0.060254680338873316,0.010844336196075674,0.026549684909905204,0.05672694545721172,0.059397052750205154
CFG_ATC_M3_AL24477_B0_RAD_MONO_EPD5,CAR_ATC_M3_AL24477_B0_RAD_EPD5,MONO,128,-0.75,-0.5,0.1666368718677655,0.2711811914952104,0.04368602956265796,0.14553255516333427,0.03046188204254888,0.011893635929981454,0.02075908823990917
CFG_ATC_M3_AL24477_B0_RAD_MONO_EPD5,CAR_ATC_M3_AL24477_B0_RAD_EPD5,MONO,128,-1.0,-0.75,0.12617599804603608,0.037629111198850415,0.14184923720306852,0.0008012474986693873,0.07182909293329509,0.003371039837179541,0.002782570779632513
CFG_ATC_M3_AL24477_B0_RAD_MONO_EPD5,CAR_ATC_M3_AL24477_B0_RAD_EPD5,MONO,128,-1.25,-1.0,0.09500996573472188,0.1044243616784052,0.029699605549879316,0.04306971944534848,0.021252820214866498,0.012178673616013045,0.011080217931984724
CFG_ATC_M3_AL24477_B0_RAD_MONO_EPD5,CAR_ATC_M3_AL24477_B0_RAD_EPD5,MONO,128,-1.5,-1.25,0.08519443644630406,0.050352633936857356,0.03606319519152589,0.017318937067517394,0.014972034262455186,0.020991110220680915,0.01792040839276916
CFG_ATC_M3_AL24477_B0_RAD_MONO_EPD5,CAR_ATC_M3_AL24477_B0_RAD_EPD5,MONO,128,-1.75,-1.5,0.07653145087692953,0.1415904620790853,0.025024068303133466,0.045421785126551706,0.02127355643019293,0.016529860501562122,0.0016937718011281995
